278.txt,P6,DEU,medium
348.txt,P1,TUR,high
666.txt,P2,ZHO,medium
733.txt,P6,TEL,medium
976.txt,P2,ARA,low
1612.txt,P6,SPA,medium
2024.txt,P3,DEU,medium
2664.txt,P2,DEU,high
2829.txt,P7,HIN,high
3044.txt,P5,JPN,low
3150.txt,P7,KOR,low
3323.txt,P7,ZHO,medium
3668.txt,P5,FRA,medium
4009.txt,P3,TUR,high
4519.txt,P8,SPA,medium
4750.txt,P7,FRA,high
4837.txt,P1,JPN,medium
5105.txt,P5,ARA,low
5308.txt,P6,KOR,medium
5497.txt,P2,ITA,medium
5565.txt,P3,TUR,low
6324.txt,P3,TEL,medium
6514.txt,P1,ARA,high
6614.txt,P2,SPA,low
6736.txt,P2,SPA,high
6767.txt,P1,KOR,medium
7406.txt,P2,TEL,medium
7748.txt,P1,TUR,medium
7965.txt,P5,JPN,medium
7998.txt,P2,TUR,medium
8117.txt,P8,ARA,high
8482.txt,P1,DEU,high
8677.txt,P6,JPN,medium
8817.txt,P3,FRA,medium
8966.txt,P7,ZHO,medium
9006.txt,P8,JPN,medium
9329.txt,P8,SPA,high
9443.txt,P1,HIN,medium
9928.txt,P3,JPN,medium
10017.txt,P8,JPN,medium
10081.txt,P4,SPA,high
10215.txt,P5,TEL,medium
10345.txt,P4,FRA,high
10417.txt,P4,TUR,high
10641.txt,P6,ARA,medium
10670.txt,P7,ZHO,medium
11347.txt,P3,HIN,medium
11557.txt,P5,ARA,high
11580.txt,P5,SPA,high
11632.txt,P7,DEU,medium
11717.txt,P5,KOR,high
11923.txt,P3,TUR,medium
12015.txt,P7,DEU,medium
12072.txt,P7,FRA,medium
12130.txt,P1,ARA,low
12410.txt,P7,FRA,high
12533.txt,P5,FRA,high
12600.txt,P1,TEL,low
12731.txt,P1,KOR,low
12779.txt,P3,TUR,medium
13148.txt,P1,DEU,medium
13210.txt,P2,TEL,high
13940.txt,P6,KOR,medium
14157.txt,P2,FRA,medium
14163.txt,P2,TEL,medium
14288.txt,P4,ITA,medium
14382.txt,P4,ARA,medium
14397.txt,P5,TUR,high
14471.txt,P5,JPN,low
16003.txt,P7,DEU,high
16038.txt,P1,SPA,medium
16073.txt,P8,TEL,high
16793.txt,P8,HIN,high
17339.txt,P3,DEU,medium
17845.txt,P2,TUR,medium
18090.txt,P4,KOR,high
18443.txt,P3,ARA,medium
18553.txt,P3,KOR,medium
18589.txt,P1,TUR,medium
18618.txt,P1,DEU,medium
18772.txt,P5,ZHO,medium
18783.txt,P8,JPN,low
18970.txt,P6,FRA,medium
19280.txt,P4,DEU,medium
19982.txt,P2,ARA,low
20063.txt,P1,ARA,medium
20156.txt,P7,JPN,high
20400.txt,P8,TUR,high
21007.txt,P2,TEL,medium
21052.txt,P3,HIN,high
21310.txt,P8,DEU,medium
21595.txt,P6,SPA,medium
21598.txt,P2,ARA,medium
22025.txt,P1,KOR,high
22056.txt,P2,SPA,medium
22249.txt,P5,JPN,low
22394.txt,P1,ITA,high
22549.txt,P6,HIN,high
22597.txt,P5,DEU,medium
22698.txt,P5,ZHO,high
22919.txt,P3,HIN,high
23062.txt,P5,FRA,high
23175.txt,P7,JPN,high
23291.txt,P8,DEU,high
23292.txt,P7,ARA,medium
23897.txt,P5,DEU,medium
23925.txt,P2,SPA,high
23976.txt,P5,KOR,medium
24202.txt,P8,ZHO,medium
24266.txt,P4,DEU,high
24312.txt,P4,ZHO,medium
24427.txt,P7,ZHO,medium
24514.txt,P4,KOR,low
24975.txt,P6,KOR,high
25063.txt,P3,ITA,high
25431.txt,P5,TUR,medium
25554.txt,P2,FRA,high
25841.txt,P8,HIN,high
25867.txt,P4,TUR,medium
25948.txt,P8,FRA,high
26027.txt,P1,TEL,medium
26125.txt,P5,ZHO,medium
26388.txt,P2,KOR,medium
26649.txt,P6,HIN,low
26720.txt,P7,ARA,medium
26729.txt,P1,ITA,high
26917.txt,P5,KOR,medium
27217.txt,P8,DEU,high
27234.txt,P4,JPN,medium
27527.txt,P2,JPN,medium
28261.txt,P4,JPN,high
28364.txt,P7,DEU,high
28471.txt,P7,ITA,medium
28532.txt,P4,SPA,low
28557.txt,P6,HIN,medium
28609.txt,P4,SPA,high
28610.txt,P3,ITA,medium
28771.txt,P8,TUR,low
28789.txt,P7,TUR,medium
28841.txt,P8,ARA,medium
29397.txt,P4,ZHO,medium
29470.txt,P8,TEL,medium
29490.txt,P7,TUR,high
29693.txt,P5,SPA,medium
29696.txt,P8,JPN,high
