Country,Topic,Learners' Prof.,Editor,Tokens,A (Added),D (Deleted),A+D,Tokens.1,Content (/12),Organization (/12),Vocabulary (/12),Language Use (/12),Mechanics (/12),Total 1 (%),Total 2 (Weighted %),Code,Sex,Age,Grade/Degree,Major,Acad. Genre,Prof. Test,Score,Vocab Size Test,CEFR,INTM,INSM,INTM+INSM,INTM-INSM,Primary,Secondary,College,Inschool,Outschool,Listening,Reading,Speaking,Writing,NS,Pronunciation,Presentation,EssayW,essay
CHN,PTJ,B1_1,LC,275,34,29,63,271,10,9,8,7,8,70.0,68.3,W_CHN_001,F,20,2.0,Law,Social Sciences,CEE,72,30,B1_1,0.0,0.0,0.0,0.0,2.0,3.63,4.25,3.89,3.56,4.0,4.5,3.5,3.75,4.0,5.0,5.0,4.0,"Now many parents and teachers disagree that college students should have their own part-time jobs because they believe that students will spend their study time on working. But I do not think so. I think a part-time job is one of the most important things in college life. It will be the precious experience in your whole life for several reasons. Firstly, a part-time job is a good way to fill your spare time after class. Many students spend time on shopping, singing or playing computer games, which are pointless. Why not take a part-time job instead of participating in those entertainments? You can even earn some money from the job by yourselves at least. Secondly, a part-time job can add to your career experience, which is a very useful part in your future life after you graduate. You will learn much knowledge that cannot be found in school lessons. Social experience is the biggest advantage for graduated students when they interview for jobs. It's easier to find jobs for those who have accumulated experiences in part-time jobs. Thirdly, as a matter of fact, a lot of college students are from poor families, so taking a part-time job for them is one of the ways to afford their college fees. Although the money may not be enough, that is all they have earned by themselves. From what I have said, it is important to college students to have a part-time job. Studying must also receive our attentions, so we should balance the part-time job with studying well. After all, the first job of students is studying."
CHN,PTJ,B1_1,LC,210,18,13,31,203,8,7,9,7,9,66.7,62.1,W_CHN_002,F,21,3.0,Law,Social Sciences,CEE,77,27,B1_1,4.17,4.33,8.5,-0.16,2.5,4.0,1.86,3.0,2.88,3.0,3.0,2.75,3.33,3.0,3.0,3.0,3.0,"In my opinion, I strongly agree with the idea that it is important for our college students to have a part-time job. Now we can see everywhere that students take part-time jobs like private teacher, seller and so on. Why do they do these jobs? What advantages benefit them? I think the main reason is money. With the improvement of our living standards, a lot of study materials are more expensive than before. Then the student has to take up some jobs to reduce considerable financial pressure. By doing so, we can also have the ability to travel or buy some items we like. We also hope that through this way, we can no longer be dependent on our parents. In addition, we can also accumulate some social experience. From kindergarten to high school, what we have learned is totally the knowledge from books. In this way, work experience offers a lot of benefits to our future jobs. In a word, there are many advantages for our college students to have some jobs: we not only make money, but also develop our independence. Thus, if you have a lot of free time after class, try to look for a part-time job and you will not regret it."
CHN,PTJ,B1_1,LC,255,29,17,46,238,10,10,8,9,9,76.7,73.8,W_CHN_003,F,20,3.0,Law,Social Sciences,CEE,79,32,B1_1,5.17,5.17,10.34,0.0,3.5,4.25,4.25,4.22,4.11,5.0,4.0,3.75,4.25,4.0,5.0,5.0,5.0,"As we all know, some college students have part-time jobs to support their lives in college, and other students spend their parents' money to live their lives. Many times it's hard for us to say who is right or who is wrong. But in the common opinions of society, as well as in my opinion, it is important for college students to have part-time jobs for several reasons. Firstly, having part-time jobs to support college students' lives in college can reduce their parents' financial burden. Our parents no longer have to give money to us or can give less money to us. It can help with the whole family's expenses. Secondly, having part-time jobs can develop our abilities. If we have a part-time job, we will know the society or interpersonal relationships better, and we may make friends with more people. It's useful for our future work. In other words, we can prepare for our future. In a word, working opens our eyes. Finally, using the money that we have earned by ourselves will make us feel great. We all know that food made by ourselves tastes more delicious, and the house built by ourselves feels more comfortable. In the same way, spending the money earned by ourselves is more fulfilling. No matter where you come from—a poor family, a rich family, or a well-off family—having part-time jobs can help you in many ways. So it is important for college students to have part-time jobs."
CHN,PTJ,B1_2,LC,267,27,25,52,269,8,9,6,8,9,66.7,62.1,W_CHN_004,F,20,2.0,Chemistry,Sciences & Technology,CEE,87,37,B1_2,4.67,5.17,9.84,-0.5,1.0,2.75,4.25,3.44,3.0,3.75,3.75,3.25,3.25,3.0,5.0,5.0,5.0,"Society has more and more challenges for college students, so it is important for us to have much experience. In our country there are plenty of college students undertaking a part-time job or even more than one part-time job. It's quite common to see students busy after classes. But why is it important for us to have part-time jobs? First, I think part-time jobs are a good way to count our thumbs. College isn't as busy as high school. When we finish our studies, so much time is wasted on playing computer games or doing other boring things. If we have a part-time job, we will try our best to do it. After all, it's a way to show the abilities we have. Second, part-time jobs can help us know more people. Colleges just have students and teachers, but society has quite different people. They do all kinds of work, and experience interesting things of which you have never heard. Through your part-time job, you could develop good interpersonal relationships. After you graduate, you will go into society. When you need help, these people can give it to you. Finally, the most important benefit is that you can get the experience that books can't teach you. Practice is the way to show your knowledge. If you can only talk about how to do it, no one will believe that you can. You have to study what you should do, and part-time jobs would let you experience this. Thus, college students' having a part-time job is necessary and important."
CHN,PTJ,B1_2,LC,228,27,26,53,225,9,8,9,10,8,73.3,70.8,W_CHN_005,M,20,2.0,Chemistry,Sciences & Technology,CEE,84,44,B1_2,5.17,5.33,10.5,-0.16,2.0,3.63,4.88,4.33,3.67,5.0,5.0,3.25,3.75,3.0,5.0,5.0,5.0,"Nowadays, college education has attracted the attention of society. What should the college education be? What ought college students to learn? The most common argument is whether college students should take a part-time job. In my opinion, having a part-time job is vital for students. As we all know, students have a lot of free time to manage, so it would be very convenient for them to take a part-time job. In the future, students must step into society and face a variety of difficulties. Having a job can help them gain life experience; what's more, they can meet all walks of life and learn how to cope with complex relationships between them and colleagues. Further, students can make their own money and may realize that it is hard for parents to earn money. However, having a part-time job also has an unfavorable aspect. As the main task for students is to study, having a job may occupy most of their free time and may affect students' daily lives. Taking a part-time job is not a bad thing as long as we do not overwork but stick to reality and our personalities. I think if we can manage our time efficiently to take a job, we will be sure to get lots of benefits and more chances to be distinguished in the future."
CHN,PTJ,B1_2,LC,219,16,17,33,215,8,7,8,8,9,66.7,62.1,W_CHN_006,F,20,2.0,Chemistry,Sciences & Technology,CEE,81,42,B1_2,4.67,4.83,9.5,-0.16,1.0,3.25,4.5,3.67,3.44,4.5,4.5,3.25,3.25,4.0,5.0,5.0,4.0,"As college students, we aren't very busy, so we can spend a lot of time doing the things we like. Some students do sports, such as playing football and running. Some students play computer games, such as dota and dnf. Some students read books, such as novels and poetry. What I think is the most important thing we should do in our free time is working in a part-time job. College is an important place connecting school and society. We not only learn knowledge here, but also learn experience which we can't learn from class. Thus, having a part-time job can solve this problem. In fact, a part-time job can make our college life substantial. From the part-time job, we can learn how to deal with work problems and how to work with others. We can also develop good habits. The most important lesson is that we can understand how hard making money is, so that we can make a good preparation for later life. College life is colorful, so we don't need to study as hard as we did in senior high school. We should learn to allocate our time and know what we really need. Having a part-time job is important to us; it's not only an opportunity, but also a challenge."
CHN,PTJ,B1_1,LC,221,28,25,53,218,11,10,8,8,9,76.7,74.6,W_CHN_007,M,19,1.0,Telecommunication,Sciences & Technology,CEE,89,34,B1_1,4.67,5.5,10.17,-0.83,1.0,2.75,5.0,4.11,3.0,4.0,4.25,3.5,3.75,1.0,4.0,5.0,5.0,"There is no complete agreement among the students about whether we should take part-time jobs. Many students hold the opinion that we should have part-time jobs. However, there are also a lot of students with a different view. The people who hold the first view think it is helpful and wise to take part-time jobs. Firstly, they think that they can develop their experience and capacities during working. It is obvious that this can prepare them for jobs in the future. Second, they can acquire money on their own, cultivating their independence and skills. Finally, they can meet and interact with a lot of people and learn from them what cannot be taught in school. In contrast, the people who take the second view think that it's not suitable for students to have part-time jobs. Students' primary task is to study, without being distracted from the knowledge that they should gain in school. If they are distracted, they may lose the opportunity of finding a better job after graduation. Thus, it is not right for them to spend their energy and time on a part-time job. Weighing the two kinds of views, I think it is beneficial for us to try to have a part-time job without putting all our time and energy into it."
CHN,PTJ,B1_2,LC,247,26,28,54,240,8,6,9,6,6,58.3,57.5,W_CHN_008,F,19,1.0,Telecommunication,Sciences & Technology,CEE,95,39,B1_2,5.0,5.67,10.67,-0.67,3.0,4.0,5.0,4.56,4.11,4.5,5.0,4.25,4.25,5.0,5.0,5.0,5.0,"If you are resolved to have a part-time job, what are your purposes? Is it the money, or is it the experiences and the learning in the process of working that lure you to take a job? As we know, most of us have to step into society after graduation, and the society which will confront us is quite different from the campus life we are used to living in. So, if money is your solitary goal and you cannot be distracted by the expansion of your circle or the acquisition of communication skills, I suggest you'd better concentrate on your study and do not bother to think of a part time job for the simple reason that high marks can get you a better job. But if you want a part-time job for more than just money, you can gain the advantage of all that it has to offer. In the change from an excellent university student to a new employee, you may be subjected to scorn and criticism often, which will prompt you to reflect on yourself and define who you are. Taking a part-time job will give you a glimpse of the real world and make you well-prepared for the future. By observing society first-hand, you learn a lot outside the book. So, you can see my opinions quite clear now. Put away the money you can get and let yourself develop quickly in your part-time job experience!"
CHN,PTJ,B1_2,LC,232,21,15,36,230,11,10,9,10,10,83.3,80.0,W_CHN_009,F,20,1.0,Telecommunication,Sciences & Technology,CEE,97,40,B1_2,5.5,5.83,11.33,-0.33,2.0,4.63,5.0,4.89,4.11,4.75,5.5,4.5,4.5,4.0,6.0,5.0,6.0,"Nowadays, quite a number of college students have part-time jobs. But is it necessary for them to do so? In my opinion, the answer can be various, depending on the students themselves. Undoubtedly, taking a part-time job is a special experience which provides youths with the chance to become familiar with society as well as to gain more practical skills. In the process, students learn how to communicate with different kinds of people and how to deal with challenging situations. Besides, the money they acquire from the job will certainly reduce their parents’ financial burdens more or less. However, it can't be ignored that some students fail to do more important things in order to take part-time jobs. They spend time that should be focused on learning to work, thus leading to a decline of grades. The fact is that the first priority for students is still studying. Additionally, some young people fail to spend their money reasonably. Instead, they fall into the habit of wasting money. Thus, it can be concluded that taking a part-time job is rewarding and eye-opening for those who have good self-regulation, but it may produce some negative side effects if the student lacks good planning skills. In common with many things, having a part-time job is a double-edged sword. If you want to have one, do be careful."
CHN,PTJ,B1_1,LC,207,13,14,27,205,10,10,9,10,9,80.0,77.1,W_CHN_010,F,18,1.0,Telecommunication,Sciences & Technology,CEE,90,33,B1_1,4.33,4.83,9.16,-0.5,1.0,4.5,4.63,4.33,4.0,4.75,5.0,4.0,4.5,3.0,5.0,4.0,6.0,"Nowadays, more and more college students think it is of great value and necessity to get a part-time job. For me, I am also one of them. I fully agree that it is important for college students to have a part-time job for the following reasons. Firstly, gaining a part-time job is not only for the purpose of earning money. What values more is the experience you get to enhance your abilities and skills such as communication, independence, problem-solving, and so on. That is to say, you can do things on your own if you gain some experience from a part-time job. Secondly, it is a good opportunity for getting involved in society and forming a foundation for your future work. We are students but we are also adults now. Therefore, the campus is not the only place we should stay in. Outside school, you will see more interesting things. However, what I want to say is that a job will certainly take much of your spare time to the extent that you may feel stressed. Thus, you should learn to schedule your time before working. In that way, I believe you can balance your time and lead a colorful college life."
