Code,Country,PTJ1 (wds),PTJ2 (wds),SMK1 (wds),SMK2 (wds),Self Ev,Sex,Age,Grade/Degree,Yrs of Stay (< Yrs),ENS Type,Major/ Occupation,Acad. Genre,Test,Score,VST,CEFR,INTM,INSM,INTM+INSM,INTM-INSM,Primary,Secondary,College,Inschool,Outschool,Listening,Reading,Speaking,Writing,NS,Pronunciation,Presentation,EssayW
W_CHN_001,CHN,271,N/A,219,N/A,N/A,F,20,2,N/A,N/A,Law,Social Sciences,CEE,72 ,30,B1_1,0,0,0,0,2,3.63,4.25,3.89,3.56,4,4.5,3.5,3.75,4,5,5,4
W_CHN_002,CHN,203,N/A,292,N/A,N/A,F,21,3,N/A,N/A,Law,Social Sciences,CEE,77 ,27,B1_1,4.17,4.33,8.5,-0.16,2.5,4,1.86,3,2.88,3,3,2.75,3.33,3,3,3,3
W_CHN_003,CHN,238,N/A,250,N/A,N/A,F,20,3,N/A,N/A,Law,Social Sciences,CEE,79 ,32,B1_1,5.17,5.17,10.34,0,3.5,4.25,4.25,4.22,4.11,5,4,3.75,4.25,4,5,5,5
W_CHN_004,CHN,269,N/A,230,N/A,N/A,F,20,2,N/A,N/A,Chemistry,Sciences & Technology,CEE,87 ,37,B1_2,4.67,5.17,9.84,-0.5,1,2.75,4.25,3.44,3,3.75,3.75,3.25,3.25,3,5,5,5
W_CHN_005,CHN,225,N/A,208,N/A,N/A,M,20,2,N/A,N/A,Chemistry,Sciences & Technology,CEE,84 ,44,B1_2,5.17,5.33,10.5,-0.16,2,3.63,4.88,4.33,3.67,5,5,3.25,3.75,3,5,5,5
W_CHN_006,CHN,215,N/A,235,N/A,N/A,F,20,2,N/A,N/A,Chemistry,Sciences & Technology,CEE,81 ,42,B1_2,4.67,4.83,9.5,-0.16,1,3.25,4.5,3.67,3.44,4.5,4.5,3.25,3.25,4,5,5,4
W_CHN_007,CHN,218,N/A,208,N/A,N/A,M,19,1,N/A,N/A,Telecommunication,Sciences & Technology,CEE,89 ,34,B1_1,4.67,5.5,10.17,-0.83,1,2.75,5,4.11,3,4,4.25,3.5,3.75,1,4,5,5
W_CHN_008,CHN,240,N/A,221,N/A,N/A,F,19,1,N/A,N/A,Telecommunication,Sciences & Technology,CEE,95 ,39,B1_2,5,5.67,10.67,-0.67,3,4,5,4.56,4.11,4.5,5,4.25,4.25,5,5,5,5
W_CHN_009,CHN,230,N/A,207,N/A,N/A,F,20,1,N/A,N/A,Telecommunication,Sciences & Technology,CEE,97 ,40,B1_2,5.5,5.83,11.33,-0.33,2,4.63,5,4.89,4.11,4.75,5.5,4.5,4.5,4,6,5,6
W_CHN_010,CHN,205,N/A,241,N/A,N/A,F,18,1,N/A,N/A,Telecommunication,Sciences & Technology,CEE,90 ,33,B1_1,4.33,4.83,9.16,-0.5,1,4.5,4.63,4.33,4,4.75,5,4,4.5,3,5,4,6
W_CHN_011,CHN,215,N/A,237,N/A,N/A,M,18,1,N/A,N/A,Telecommunication,Sciences & Technology,CEE,83 ,35,B1_1,4.83,4.5,9.33,0.33,1,4.25,4.13,4,3.67,4.5,5,3.5,3.75,3,3,5,5
W_CHN_012,CHN,216,N/A,264,N/A,N/A,F,19,1,N/A,N/A,Telecommunication,Sciences & Technology,CEE,89 ,35,B1_1,4.67,4.33,9,0.34,1,2.63,4.75,4.11,2.67,3.75,4,3.5,3.5,2,4,4,5
W_CHN_013,CHN,236,N/A,252,N/A,N/A,F,19,2,N/A,N/A,Law,Social Sciences,CEE,85 ,39,B1_2,4.33,5.17,9.5,-0.84,2,3.75,4.25,3.89,3.67,4.25,5,3.25,3.5,6,6,5,4
W_CHN_014,CHN,262,N/A,248,N/A,N/A,F,19,2,N/A,N/A,Law,Social Sciences,CEE,85 ,39,B1_2,4.33,5.67,10,-1.34,4,4.25,3.63,3.89,4,4,4.75,3.5,3.5,6,6,5,3
W_CHN_015,CHN,228,N/A,227,N/A,N/A,F,19,2,N/A,N/A,Law,Social Sciences,CEE,84 ,38,B1_2,4.5,4.83,9.33,-0.33,2,3.88,4,4,3.44,4.5,4.25,3.5,3.5,2,4,4,4
W_CHN_016,CHN,238,N/A,250,N/A,N/A,F,19,2,N/A,N/A,Law,Social Sciences,CEE,81 ,39,B1_2,4.17,5.17,9.34,-1,2,4.25,3.75,3.78,3.78,4.25,4.75,3.5,3.5,5,5,5,4
W_CHN_017,CHN,251,N/A,211,N/A,N/A,F,19,2,N/A,N/A,Law,Social Sciences,CEE,80 ,35,B1_1,4.33,5,9.33,-0.67,2,3.38,3.5,3.56,3,3.5,3.5,3,3.75,5,5,5,5
W_CHN_018,CHN,195,N/A,189,N/A,N/A,F,19,2,N/A,N/A,Law,Social Sciences,CEE,85 ,39,B1_2,4.33,5.67,10,-1.34,4,4.25,3.63,3.89,4,4,4.75,3.5,3.5,6,6,5,3
W_CHN_019,CHN,289,N/A,283,N/A,N/A,F,19,2,N/A,N/A,Law,Social Sciences,CEE,87 ,39,B1_2,4.67,5,9.67,-0.33,1,4.25,4,3.89,3.67,4.25,5,3.5,3.75,3,5,4,4
W_CHN_020,CHN,230,N/A,204,N/A,N/A,F,19,2,N/A,N/A,Education,Humanities,CEE,65 ,25,B1_1,5.33,4.17,9.5,1.16,2,3.13,3.63,3.11,3.33,3.25,3.75,4,2.5,6,1,1,6
W_CHN_021,CHN,220,N/A,206,N/A,N/A,F,20,2,N/A,N/A,Education,Humanities,CEE,82 ,17,A2_0,5.67,5.67,11.34,0,1,4.5,4.5,4.33,3.89,5,5,3.25,4.75,2,5,2,5
W_CHN_022,CHN,205,N/A,212,N/A,N/A,F,20,2,N/A,N/A,Education,Humanities,CEE,68 ,21,A2_0,5.67,5.67,11.34,0,1,1.88,3.25,2.67,2.11,4.25,2.5,2,1.5,2,4,3,5
W_CHN_023,CHN,236,N/A,210,N/A,N/A,F,20,2,N/A,N/A,Education,Humanities,CEE,70 ,27,B1_1,5.5,5.83,11.33,-0.33,4,4.75,5.38,4.89,5,5.5,5.25,4.5,5,5,5,5,5
W_CHN_024,CHN,218,N/A,201,N/A,N/A,F,19,2,N/A,N/A,Education,Humanities,CEE,65 ,24,A2_0,4.5,4.33,8.83,0.17,1,2.13,4.13,3.11,2.67,3.5,3,2.75,3.25,1,4,2,4
W_CHN_025,CHN,228,N/A,200,N/A,N/A,F,19,2,N/A,N/A,Education,Humanities,CEE,75 ,32,B1_1,5,4.33,9.33,0.67,1.5,4.13,4.75,4.22,4,4.75,4.25,4.25,4.5,1,4,3,5
W_CHN_026,CHN,212,N/A,224,N/A,N/A,F,20,2,N/A,N/A,Education,Humanities,CEE,67 ,16,A2_0,4.83,4.83,9.66,0,1,3.13,3.63,3.11,3.11,3.5,3.25,3.25,3.5,1,5,5,5
W_CHN_027,CHN,223,N/A,203,N/A,N/A,F,19,2,N/A,N/A,Education,Humanities,CEE,71 ,28,B1_1,5.67,4.83,10.5,0.84,2.5,4.75,4.75,4.56,4.44,5.5,4.75,4.25,4.5,1,6,5,5
